name,lon,lat,rep,size,place
1Sout,149.4606578,-37.05740325,1,S,out
1Lin,149.4593811,-37.05986049,1,L,in
1Lout,149.4576216,-37.06033138,1,L,out
2Sin,149.4636512,-37.06050261,2,S,in
2Sout,149.4648099,-37.06004028,2,S,out
2Min,149.4635439,-37.06195807,2,M,in
2Mout,149.4642735,-37.06161561,2,M,out
1Min,149.4604754,-37.06185533,1,M,in
1Mout,149.4595313,-37.06188958,1,M,out
2Lin,149.4643164,-37.06327652,2,L,in
2Lout,149.4656897,-37.06307105,2,L,out
1Sin,149.4601107,-37.05786559,1,S,in
3Lout,149.4708395,-37.06700915,3,L,out
3Lin,149.4693375,-37.06759129,3,L,in
3Sout,149.4674063,-37.06632428,3,S,out
3Sin,149.4668484,-37.06671808,3,S,in
3Min,149.4656682,-37.06711189,3,M,in
3Mout,149.4662476,-37.06800221,3,M,out
4Mout,149.4614518,-37.06948321,4,M,out
4Min,149.4622242,-37.07025366,4,M,in
4Lout,149.4662046,-37.07013381,4,L,out
4Lin,149.4654,-37.07109258,4,L,in
4Sout,149.4650245,-37.07286457,4,S,out
4Sin,149.466387,-37.07312993,4,S,in
5Lout,149.4694662,-37.0737805,5,L,out
5Lin,149.4679642,-37.07433691,5,L,in
5Mout,149.4671273,-37.07635705,5,M,out
5Min,149.4684255,-37.07597186,5,M,in
5Sin,149.4693482,-37.07703327,5,S,in
5Sout,149.4686615,-37.07756398,5,S,out
6Lout,149.4735968,-37.07793204,6,L,out
6Lin,149.4721806,-37.07871096,6,L,in
6Mout,149.4721699,-37.08070531,6,M,out
6Min,149.4712579,-37.08026879,6,M,in
6Sout,149.4704425,-37.07776941,6,S,out
6Sin,149.4698632,-37.07844562,6,S,in
